ts;person Id;event
1357303485.0;Up45;OUT
1357303491.0;Up4;OUT
1357303589.0;Up84;OUT
1357303698.0;Up39;OUT
1357303707.0;Up112;OUT
1357303922.0;Up18;OUT
1357303982.0;Up52;IN
1357304139.0;Up109;IN
1357304349.0;Up118;IN
1357304406.0;Up66;OUT
1357304711.0;Up111;OUT
1357304722.0;Up37;OUT
1357304961.0;Up48;OUT
1357305212.0;Up211;OUT
1357305570.0;Up56;OUT
1357305771.0;Up145;IN
1357305927.0;Up6;OUT
1357305943.0;Up101;OUT
1357306133.0;Up31;IN
1357306161.0;Up17;IN
1357306670.0;Up214;IN
1357306877.0;Up125;IN
1357307046.0;Up210;IN
1357307587.0;Up215;IN
1357308076.0;Up112;IN
1357308149.0;Up34;IN
1357308190.0;Up18;IN
1357308254.0;Up126;OUT
1357308299.0;Up37;IN
1357308515.0;Up39;IN
1357308589.0;Up56;IN
1357308591.0;Up76;OUT
1357308782.0;Up45;IN
1357308805.0;Up216;IN
1357308843.0;Up108;OUT
1357308885.0;Up115;IN
1357308989.0;Up216;OUT
1357309226.0;Up64;OUT
1357309347.0;Up29;OUT
1357309931.0;Up74;IN
1357310022.0;Up217;IN
1357310081.0;Up79;OUT
1357310374.0;Up48;IN
1357310800.0;Up205;OUT
1357310852.0;Up6;IN
1357311006.0;Up165;IN
1357311197.0;Up207;OUT
1357311265.0;Up178;IN
1357311690.0;Up170;IN
1357312072.0;Up64;IN
1357312321.0;Up150;IN
1357312829.0;Up107;IN
1357313440.0;Up11;OUT
1357314218.0;Up2;OUT
1357314353.0;Up192;IN
1357314453.0;Up2;IN
1357314536.0;Up38;OUT
1357314541.0;Up118;OUT
1357314742.0;Up173;OUT
1357315113.0;Up107;OUT
1357315435.0;Up124;OUT
1357315486.0;Up10;OUT
1357315883.0;Up108;IN
1357316198.0;Up97;OUT
1357316548.0;Up114;OUT
1357316803.0;Up63;OUT
1357317313.0;Up27;OUT
1357317627.0;Up19;OUT
1357317801.0;Up82;OUT
1357317841.0;Up31;OUT
1357318001.0;Up147;IN
1357318054.0;Up123;OUT
1357318214.0;Up160;OUT
1357318747.0;Up11;IN
1357318864.0;Up58;OUT
1357318879.0;Up90;OUT
1357318978.0;Up150;OUT
1357319127.0;Up4;IN
1357319376.0;Up22;OUT
1357319487.0;Up204;OUT
1357319525.0;Up190;OUT
1357319551.0;Up30;OUT
1357319589.0;Up102;IN
1357319599.0;Up45;OUT
1357319639.0;Up112;OUT
1357319656.0;Up218;IN
1357319698.0;Up102;OUT
1357319793.0;Up11;OUT
1357319848.0;Up126;IN
1357319871.0;Up100;OUT
1357319904.0;Up218;OUT
1357320061.0;Up213;OUT
1357320313.0;Up39;OUT
1357320363.0;Up167;OUT
1357320492.0;Up103;OUT
1357320515.0;Up172;OUT
1357320886.0;Up157;OUT
1357321110.0;Up105;OUT
1357321163.0;Up33;OUT
1357321350.0;Up210;OUT
1357321366.0;Up154;OUT
1357321421.0;Up145;OUT
1357321456.0;Up130;OUT
1357321875.0;Up59;OUT
1357321978.0;Up214;OUT
1357322333.0;Up74;OUT
1357322457.0;Up159;OUT
1357322519.0;Up58;IN
1357322578.0;Up170;OUT
1357322660.0;Up88;OUT
1357322794.0;Up131;OUT
1357322829.0;Up158;OUT
1357322935.0;Up48;OUT
1357323027.0;Up49;OUT
1357323250.0;Up46;OUT
1357323574.0;Up20;IN
1357323619.0;Up60;IN
1357323767.0;Up161;OUT
1357323867.0;Up113;OUT
1357324082.0;Up187;OUT
1357324119.0;Up98;OUT
1357324259.0;Up37;OUT
1357324421.0;Up20;OUT
1357324546.0;Up6;OUT
1357324752.0;Up203;OUT
1357324827.0;Up198;OUT
1357325267.0;Up41;OUT
1357325430.0;Up120;OUT
1357325468.0;Up43;OUT
1357325532.0;Up142;OUT
1357325692.0;Up206;OUT
1357325704.0;Up188;OUT
1357325879.0;Up96;OUT
1357326201.0;Up209;OUT
1357326355.0;Up64;OUT
1357326414.0;Up143;OUT
1357327016.0;Up148;OUT
1357327194.0;Up149;OUT
1357327287.0;Up126;OUT
1357327430.0;Up182;IN
1357327491.0;Up165;OUT
1357327635.0;Up85;OUT
1357327762.0;Up219;IN
1357327959.0;Up72;OUT
1357327961.0;Up23;OUT
1357328299.0;Up26;OUT
1357328783.0;Up122;OUT
1357329236.0;Up125;OUT
1357330511.0;Up163;OUT
1357331216.0;Up4;OUT
1357331727.0;Up195;OUT
1357331925.0;Up219;OUT
1357332457.0;Up95;OUT
1357332568.0;Up98;IN
1357333558.0;Up98;OUT
1357334885.0;Up196;IN
1357335174.0;Up106;OUT
1357337640.0;Up106;IN
1357341860.0;Up106;OUT
1357346703.0;Up196;OUT
1357354265.0;Up7;IN
1357356435.0;Up182;OUT
1357372696.0;Up95;IN
1357375252.0;Up32;IN
1357376314.0;Up198;IN
1357376931.0;Up10;IN
1357377471.0;Up82;IN
1357377567.0;Up188;IN
1357378340.0;Up220;IN
1357379589.0;Up10;OUT
1357380981.0;Up6;IN
1357381620.0;Up163;IN
1357381675.0;Up202;OUT
1357382875.0;Up107;IN
1357383284.0;Up6;OUT
1357385639.0;Up107;OUT
1357387738.0;Up32;OUT
1357388888.0;Up198;OUT
1357390313.0;Up220;OUT
1357391507.0;Up95;OUT
1357392083.0;Up94;OUT
1357393954.0;Up221;IN
1357394456.0;Up221;OUT
1357395100.0;Up35;IN
1357396301.0;Up188;OUT
1357397412.0;Up125;IN
1357397654.0;Up222;IN
1357398006.0;Up222;OUT
1357399205.0;Up223;IN
1357399907.0;Up182;IN
1357400253.0;Up216;IN
1357400324.0;Up223;OUT
1357400360.0;Up182;OUT
1357403180.0;Up94;IN
1357403265.0;Up6;IN
1357404146.0;Up221;IN
1357404545.0;Up52;OUT
1357406901.0;Up6;OUT
1357407935.0;Up140;OUT
1357408552.0;Up135;IN
1357408985.0;Up135;OUT
1357409041.0;Up221;OUT
1357410365.0;Up216;OUT
1357410510.0;Up94;OUT
1357412914.0;Up221;IN
1357413170.0;Up221;OUT
1357415860.0;Up125;OUT
1357416197.0;Up196;IN
1357428347.0;Up196;OUT
1357460162.0;Up192;OUT
1357461140.0;Up14;IN
1357462305.0;Up12;IN
1357474701.0;Up14;OUT
1357475681.0;Up12;OUT
1357476367.0;Up195;IN
1357477132.0;Up196;IN
1357487635.0;Up6;IN
1357490607.0;Up94;IN
1357491139.0;Up6;OUT
1357492270.0;Up181;OUT
1357494894.0;Up196;OUT
1357498086.0;Up224;IN
